"id";"article_id";"url";"source";"geonames_id";"geoname_json";"loc_name";"loc_country_code";"continent";"lat";"lng";"hierarchy_data";"published_at";"disease";"host";"symptom subtype";"symptom";"title";"sentences";"day_no";"week_no";"biweek_no";"month_no";"year";"season"
1;"249486";"-1";"-1";1282653;"{""adminCode1"": ""3"", ""lng"": ""85.33333"", ""geonameId"": 1282653, ""toponymName"": ""Tokha"", ""countryId"": ""1282988"", ""fcl"": ""P"", ""population"": 0, ""countryCode"": ""NP"", ""name"": ""Tokha"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""P3""}, ""countryName"": ""Nepal"", ""fcodeName"": ""populated place"", ""adminName1"": ""Bagmati Province"", ""lat"": ""27.75"", ""fcode"": ""PPL""}";"Tokha";"NPL";"AS";"27.75";"85.33333";"[1282988, 12095449, 12095484, 12096276, 1282653]";"2019-03-24T00:00:00";"['h5n1', 'HPAI']";"{""domestic bird"": [""chicken""]}";"";"";"";"";24;12;6.0;3;2019;"spring"
2;"249487";"-1";"-1";12095757;"{""adminCode1"": ""3"", ""lng"": ""85.04134"", ""geonameId"": 12095757, ""toponymName"": ""Tarkeshwar"", ""countryId"": ""1282988"", ""fcl"": ""A"", ""population"": 0, ""countryCode"": ""NP"", ""name"": ""Tarkeshwar"", ""fclName"": ""country, state, region,..."", ""adminCodes1"": {""ISO3166_2"": ""P3""}, ""countryName"": ""Nepal"", ""fcodeName"": ""third-order administrative division"", ""adminName1"": ""Bagmati Province"", ""lat"": ""27.88355"", ""fcode"": ""ADM3""}";"Tarkeshwar";"NPL";"AS";"27.88355";"85.04134";"[1282988, 12095449, 12095497, 12095757]";"2019-03-24T00:00:00";"['h5n1', 'HPAI']";"{""domestic bird"": [""chicken""]}";"";"";"";"";24;12;6.0;3;2019;"spring"
3;"249488";"-1";"-1";1283729;"{""adminCode1"": ""4"", ""lng"": ""84.12219"", ""geonameId"": 1283729, ""toponymName"": ""Annap\u016brna II"", ""countryId"": ""1282988"", ""fcl"": ""T"", ""population"": 0, ""countryCode"": ""NP"", ""name"": ""Annap\u016brna II"", ""fclName"": ""mountain,hill,rock,... "", ""adminCodes1"": {""ISO3166_2"": ""P4""}, ""countryName"": ""Nepal"", ""fcodeName"": ""mountain"", ""adminName1"": ""Gandaki Pradesh"", ""lat"": ""28.53495"", ""fcode"": ""MT""}";"Annapūrna II";"NPL";"AS";"28.53495";"84.12219";"[1282988, 12095450, 12095483, 12095708, 1283729]";"2019-03-24T00:00:00";"['h5n1', 'HPAI']";"{""domestic bird"": [""chicken""]}";"";"";"";"";24;12;6.0;3;2019;"spring"
4;"250205";"-1";"-1";3817746;"{""adminCode1"": ""15"", ""lng"": ""-98.9364"", ""geonameId"": 3817746, ""toponymName"": ""Tepexpan"", ""countryId"": ""3996063"", ""fcl"": ""P"", ""population"": 102667, ""countryCode"": ""MX"", ""name"": ""Tepexpan"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""MEX""}, ""countryName"": ""Mexico"", ""fcodeName"": ""populated place"", ""adminName1"": ""M\u00e9xico"", ""lat"": ""19.61387"", ""fcode"": ""PPL""}";"Tepexpan";"MEX";"NA";"19.61387";"-98.9364";"[3996063, 3523272, 8379113, 3817746]";"2019-04-01T00:00:00";"['h7n3', 'LPAI']";"{""domestic bird"": [""chicken""]}";"";"";"";"";1;14;7.0;4;2019;"spring"
5;"248985";"-1";"-1";1668632;"{""adminCode1"": ""04"", ""lng"": ""120.3209"", ""geonameId"": 1668632, ""toponymName"": ""Dacheng"", ""countryId"": ""1668284"", ""fcl"": ""P"", ""population"": 0, ""countryCode"": ""TW"", ""name"": ""Dacheng"", ""fclName"": ""city, village,..."", ""countryName"": ""Taiwan"", ""fcodeName"": ""populated place"", ""adminName1"": ""Taiwan"", ""lat"": ""23.855"", ""fcode"": ""PPL""}";"Dacheng";"TWN";"AS";"23.855";"120.3209";"[1668284, 7280291, 1679134, 1668631, 11700847, 1668632]";"2019-03-12T00:00:00";"['h5n2', 'LPAI']";"{""domestic bird"": [""chicken""]}";"";"";"";"";12;11;6.0;3;2019;"winter"
6;"249046";"-1";"-1";12095757;"{""adminCode1"": ""3"", ""lng"": ""85.04134"", ""geonameId"": 12095757, ""toponymName"": ""Tarkeshwar"", ""countryId"": ""1282988"", ""fcl"": ""A"", ""population"": 0, ""countryCode"": ""NP"", ""name"": ""Tarkeshwar"", ""fclName"": ""country, state, region,..."", ""adminCodes1"": {""ISO3166_2"": ""P3""}, ""countryName"": ""Nepal"", ""fcodeName"": ""third-order administrative division"", ""adminName1"": ""Bagmati Province"", ""lat"": ""27.88355"", ""fcode"": ""ADM3""}";"Tarkeshwar";"NPL";"AS";"27.88355";"85.04134";"[1282988, 12095449, 12095497, 12095757]";"2019-03-17T00:00:00";"['h5n1', 'HPAI']";"{""bird-unknown"": [""subtype-unknown""]}";"";"";"";"";17;11;6.0;3;2019;"winter"
7;"248311";"-1";"-1";2611783;"{""adminCode1"": ""19"", ""lng"": ""10.06148"", ""geonameId"": 2611783, ""toponymName"": ""Terndrup"", ""countryId"": ""2623032"", ""fcl"": ""P"", ""population"": 0, ""countryCode"": ""DK"", ""name"": ""Terndrup"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""81""}, ""countryName"": ""Denmark"", ""fcodeName"": ""populated place"", ""adminName1"": ""North Denmark"", ""lat"": ""56.81387"", ""fcode"": ""PPL""}";"Terndrup";"DNK";"EU";"56.81387";"10.06148";"[2623032, 6418540, 6543937, 2611783]";"2019-03-01T00:00:00";"['h5', 'AI-unknown']";"{""domestic bird"": [""chicken""]}";"";"";"";"";1;9;5.0;3;2019;"winter"
8;"249044";"-1";"-1";113646;"{""adminCode1"": ""33"", ""lng"": ""46.2919"", ""geonameId"": 113646, ""toponymName"": ""Tabriz"", ""countryId"": ""130758"", ""fcl"": ""P"", ""population"": 1424641, ""countryCode"": ""IR"", ""name"": ""Tabriz"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""03""}, ""countryName"": ""Iran"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""East Azerbaijan"", ""lat"": ""38.08"", ""fcode"": ""PPLA""}";"Tabriz";"IRN";"AS";"38.08";"46.2919";"[130758, 142549, 113646]";"2019-03-18T00:00:00";"['h5n8', 'HPAI']";"{""bird-unknown"": [""subtype-unknown""]}";"";"";"";"";18;12;6.0;3;2019;"winter"
9;"248984";"-1";"-1";6652012;"{""adminCode1"": ""04"", ""lng"": ""120.84887"", ""geonameId"": 6652012, ""toponymName"": ""Dongshi"", ""countryId"": ""1668284"", ""fcl"": ""T"", ""population"": 0, ""countryCode"": ""TW"", ""name"": ""Dongshi"", ""fclName"": ""mountain,hill,rock,... "", ""countryName"": ""Taiwan"", ""fcodeName"": ""peak"", ""adminName1"": ""Taiwan"", ""lat"": ""24.27933"", ""fcode"": ""PK""}";"Dongshi";"TWN";"AS";"24.27933";"120.84887";"[1668284, 7280291, 9613500, 1666462, 11699720, 6652012]";"2019-03-12T00:00:00";"['h5n2', 'LPAI']";"{""domestic bird"": [""chicken""]}";"";"";"";"";12;11;6.0;3;2019;"winter"
10;"260135";"-1";"-1";6201372;"{""adminCode1"": ""36"", ""lng"": ""-70.50877"", ""geonameId"": 6201372, ""toponymName"": ""Provincia de San Jos\u00e9 de Ocoa"", ""countryId"": ""3508796"", ""fcl"": ""A"", ""population"": 62368, ""countryCode"": ""DO"", ""name"": ""Provincia de San Jos\u00e9 de Ocoa"", ""fclName"": ""country, state, region,..."", ""adminCodes1"": {""ISO3166_2"": ""31""}, ""countryName"": ""Dominican Republic"", ""fcodeName"": ""first-order administrative division"", ""adminName1"": ""San Jos\u00e9 de Ocoa"", ""lat"": ""18.54882"", ""fcode"": ""ADM1""}";"Provincia de San José de Ocoa";"DOM";"NA";"18.54882";"-70.50877";"[3508796, 6201372]";"2019-10-16T00:00:00";"['h5n2', 'LPAI']";"{""domestic bird"": [""chicken""]}";"";"";"";"";16;42;21.0;10;2019;"autumn"
