;id;article_id;url;source;geonames_id;geoname_json;loc_name;loc_country_code;continent;lat;lng;hierarchy_data;published_at;disease;host;symptom subtype;symptom;title;sentences;day_no;week_no;biweek_no;month_no;year;season
0;1;['79-0J4IPMGUI4'];['https://en.antaranews.com/news/127377/fao-antara-deliver-briefing-on-animal-to-human-diseases-in-indonesia'];['antaranews.com'];1643084;"{""address"": ""Indonesia"", ""class_description"": ""country, state, region,..."", ""code"": ""PCLI"", ""country"": ""Indonesia"", ""country_code"": ""ID"", ""description"": ""independent political entity"", ""feature_class"": ""A"", ""geonames_id"": 1643084, ""lat"": ""-5"", ""lng"": ""120"", ""ok"": true, ""population"": 267663435, ""raw"": {""adminCode1"": ""00"", ""lng"": ""120"", ""geonameId"": 1643084, ""toponymName"": ""Republic of Indonesia"", ""countryId"": ""1643084"", ""fcl"": ""A"", ""population"": 267663435, ""countryCode"": ""ID"", ""name"": ""Indonesia"", ""fclName"": ""country, state, region,..."", ""countryName"": ""Indonesia"", ""fcodeName"": ""independent political entity"", ""adminName1"": """", ""lat"": ""-5"", ""fcode"": ""PCLI""}, ""state_code"": ""00"", ""status"": ""OK""}";Indonesia;IDN;AS;-5.0;120.0;[1643084];2019-06-19T14:00:27;['', 'AI-unknown'];"{""bird-unknown"": [""subtype-unknown""]}";;;;;19;25;13.0;6;2019;spring
1;2;['80-20XODDU1BY', '521-XHWBWZBROZ'];['https://www.tribuneindia.com/news/nation/bird-flu-scare-in-bihar-s-muzaffarpur-after-dozen-crows-found-dead/709523.html', 'https://www.thehindu.com/news/national/other-states/dead-crows-trigger-bird-flu-scare-in-bihar/article25926830.ece'];['tribuneindia.com', 'thehindu.com'];1262330;"{""adminCode1"": ""34"", ""lng"": ""85.39055"", ""geonameId"": 1262330, ""toponymName"": ""Muzaffarpur"", ""countryId"": ""1269750"", ""fcl"": ""P"", ""population"": 333200, ""countryCode"": ""IN"", ""name"": ""Muzaffarpur"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""BR""}, ""countryName"": ""India"", ""fcodeName"": ""populated place"", ""adminName1"": ""Bihar"", ""lat"": ""26.12259"", ""fcode"": ""PPL""}";Muzaffarpur;IND;AS;26.12259;85.39055;[1269750, 1275715, 1262331, 1262330];2019-01-06T16:36:24;['', 'AI-unknown'];"{""wild bird"": [""crow""]}";;;;;6;1;1.0;1;2019;winter
2;3;['82-20XODDU1BY', '268-DWYXNSF9J0', '340-H6ORZ7S6XV'];['https://www.tribuneindia.com/news/nation/bird-flu-scare-in-bihar-s-muzaffarpur-after-dozen-crows-found-dead/709523.html', 'https://timesofindia.indiatimes.com/city/patna/more-crows-found-dead-in-patna-siwan-and-muzaffarpur/articleshow/67426141.cms', 'https://timesofindia.indiatimes.com/city/patna/more-crows-die-in-patna-nawada/articleshow/67371432.cms'];['tribuneindia.com', 'indiatimes.com', 'indiatimes.com'];1260086;"{""adminCode1"": ""34"", ""lng"": ""85.13563"", ""geonameId"": 1260086, ""toponymName"": ""Patna"", ""countryId"": ""1269750"", ""fcl"": ""P"", ""population"": 1599920, ""countryCode"": ""IN"", ""name"": ""Patna"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""BR""}, ""countryName"": ""India"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""Bihar"", ""lat"": ""25.59408"", ""fcode"": ""PPLA""}";Patna;IND;AS;25.59408;85.13563;[1269750, 1275715, 1260091, 1260086];2019-01-04T00:58:00;['', 'AI-unknown'];"{""wild bird"": [""crow""]}";;;;;4;1;1.0;1;2019;winter
3;4;['84-21QGHOWMCA', '225-BOWGJA1DHD', '484-U4YF1FDZTE', '126-44UA2MJBU2'];['https://www.hindustantimes.com/patna/bird-flu-spreads-in-munger-bihar-government-orders-culling-of-birds/story-M3ZmDXn1FkiGrcBldX8fUO.html', 'https://www.downtoearth.org.in/news/health/fear-of-bird-flu-outbreak-grips-bihar-62774', 'https://timesofindia.indiatimes.com/city/jamshedpur/bird-flu-alert-in-e-singhbhum-dist/articleshow/67493584.cms', 'https://timesofindia.indiatimes.com/city/patna/test-confirms-bird-flu-in-banka-village/articleshow/67506251.cms'];['hindustantimes.com', 'downtoearth.org.in', 'indiatimes.com', 'indiatimes.com'];1262482;"{""adminCode1"": ""34"", ""lng"": ""86.47455"", ""geonameId"": 1262482, ""toponymName"": ""Monghyr"", ""countryId"": ""1269750"", ""fcl"": ""P"", ""population"": 203163, ""countryCode"": ""IN"", ""name"": ""Munger"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""BR""}, ""countryName"": ""India"", ""fcodeName"": ""populated place"", ""adminName1"": ""Bihar"", ""lat"": ""25.37459"", ""fcode"": ""PPL""}";Monghyr;IND;AS;25.37459;86.47455;[1269750, 1275715, 1262483, 1262482];2019-01-04T08:08:00;['', 'AI-unknown'];"{""bird-unknown"": [""subtype-unknown""]}";;;;;4;1;1.0;1;2019;winter
4;5;['89-221FB2FMLU'];['https://www.business-standard.com/article/news-ians/first-bird-flu-death-reported-in-nepal-119050300304_1.html'];['business-standard.com'];1282988;"{""address"": ""Nepal"", ""class_description"": ""country, state, region,..."", ""code"": ""PCLI"", ""country"": ""Nepal"", ""country_code"": ""NP"", ""description"": ""independent political entity"", ""feature_class"": ""A"", ""geonames_id"": 1282988, ""lat"": ""28"", ""lng"": ""84"", ""ok"": true, ""population"": 28087871, ""raw"": {""adminCode1"": ""00"", ""lng"": ""84"", ""geonameId"": 1282988, ""toponymName"": ""Nepal"", ""countryId"": ""1282988"", ""fcl"": ""A"", ""population"": 28087871, ""countryCode"": ""NP"", ""name"": ""Nepal"", ""fclName"": ""country, state, region,..."", ""countryName"": ""Nepal"", ""fcodeName"": ""independent political entity"", ""adminName1"": """", ""lat"": ""28"", ""fcode"": ""PCLI""}, ""state_code"": ""00"", ""status"": ""OK""}";Nepal;NPL;AS;28.0;84.0;[1282988];2019-05-03T06:16:07;['h5n1', 'HPAI'];"{""bird-unknown"": [""subtype-unknown""]}";;;;;3;18;9.0;5;2019;spring
5;6;['93-2IDC1YIJ9I'];['https://timesofindia.indiatimes.com/city/patna/patna-zoo-reopens-after-49-days/articleshow/67965728.cms'];['indiatimes.com'];1260086;"{""adminCode1"": ""34"", ""lng"": ""85.13563"", ""geonameId"": 1260086, ""toponymName"": ""Patna"", ""countryId"": ""1269750"", ""fcl"": ""P"", ""population"": 1599920, ""countryCode"": ""IN"", ""name"": ""Patna"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""BR""}, ""countryName"": ""India"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""Bihar"", ""lat"": ""25.59408"", ""fcode"": ""PPLA""}";Patna;IND;AS;25.59408;85.13563;[1269750, 1275715, 1260091, 1260086];2019-02-13T01:17:00;['', 'AI-unknown'];"{""domestic bird"": [""peafowl""]}";;;;;13;7;4.0;2;2019;winter
6;7;['99-2WSR0KM2IQ'];['https://www.telegraphindia.com/states/jharkhand/bird-flu-alert-in-bokaro-after-crows-start-dropping-dead/cid/1684162'];['telegraphindia.com'];1275841;"{""adminCode1"": ""35"", ""lng"": ""77.40289"", ""geonameId"": 1275841, ""toponymName"": ""Bhop\u0101l"", ""countryId"": ""1269750"", ""fcl"": ""P"", ""population"": 1599914, ""countryCode"": ""IN"", ""name"": ""Bhopal"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""MP""}, ""countryName"": ""India"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""Madhya Pradesh"", ""lat"": ""23.25469"", ""fcode"": ""PPLA""}";Bhopāl;IND;AS;23.25469;77.40289;[1269750, 1264542, 1275842, 1275841];2019-02-10T20:42:00;['h5n1', 'HPAI'];"{""wild bird"": [""crow""]}";;;;;10;6;3.0;2;2019;winter
7;8;['106-2Z5RCD9RVV'];['https://www.nyoooz.com/news/patna/1296747/bird-flu-over-2000-birds-culled-in-munger/'];['nyoooz.com'];1275004;"{""adminCode1"": ""28"", ""lng"": ""88.36304"", ""geonameId"": 1275004, ""toponymName"": ""Kolkata"", ""countryId"": ""1269750"", ""fcl"": ""P"", ""population"": 4631392, ""countryCode"": ""IN"", ""name"": ""Kolkata"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""WB""}, ""countryName"": ""India"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""West Bengal"", ""lat"": ""22.56263"", ""fcode"": ""PPLA""}";Kolkata;IND;AS;22.56263;88.36304;[1269750, 1252881, 1275005, 1275004];2019-01-06T01:24:38;['', 'AI-unknown'];"{""bird-unknown"": [""subtype-unknown""]}";;;;;6;1;1.0;1;2019;winter
8;9;['108-3BGUMKZLA3', '360-JOEOBR81ZG'];['http://www.thepoultrysite.com/poultrynews/40820/taiwans-yunlin-county-culls-62nd-poultry-farm-in-2018-due-to-bird-flu', 'https://www.taiwannews.com.tw/en/news/3608213'];['thepoultrysite.com', 'taiwannews.com.tw'];1665196;"{""adminCode1"": ""04"", ""lng"": ""120.54333"", ""geonameId"": 1665196, ""toponymName"": ""Douliu"", ""countryId"": ""1668284"", ""fcl"": ""P"", ""population"": 104723, ""countryCode"": ""TW"", ""name"": ""Douliu"", ""fclName"": ""city, village,..."", ""countryName"": ""Taiwan"", ""fcodeName"": ""seat of a second-order administrative division"", ""adminName1"": ""Taiwan"", ""lat"": ""23.70944"", ""fcode"": ""PPLA2""}";Douliu;TWN;AS;23.70944;120.54333;[1668284, 7280291, 1665194, 1667006, 1665196];2019-01-01T07:31:00;['', 'AI-unknown'];"{""domestic bird"": [""turkey""]}";;;;;1;1;1.0;1;2019;winter
9;10;['111-3J4LIF3XSF'];['https://www.business-standard.com/article/pti-stories/nepal-witnesses-first-bird-flu-death-119050300454_1.html'];['business-standard.com'];1283240;"{""adminCode1"": ""3"", ""lng"": ""85.3206"", ""geonameId"": 1283240, ""toponymName"": ""Kathmandu"", ""countryId"": ""1282988"", ""fcl"": ""P"", ""population"": 1442271, ""countryCode"": ""NP"", ""name"": ""Kathmandu"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""P3""}, ""countryName"": ""Nepal"", ""fcodeName"": ""capital of a political entity"", ""adminName1"": ""Bagmati Province"", ""lat"": ""27.70169"", ""fcode"": ""PPLC""}";Kathmandu;NPL;AS;27.70169;85.3206;[1282988, 12095449, 12095484, 1283240];2019-05-03T08:35:11;['', 'AI-unknown'];"{""human"": [""gender-unknown""]}";;;;;3;18;9.0;5;2019;spring
