"";"id";"article_id";"url";"source";"geonames_id";"geoname_json";"loc_name";"loc_country_code";"continent";"lat";"lng";"hierarchy_data";"published_at";"disease";"host";"symptom subtype";"symptom";"title";"sentences";"day_no";"week_no";"biweek_no";"month_no";"year";"season"
0;1;"6856727";"https://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=32711";"wahis.oie.int";2328926;"{""adminCode1"": ""00"", ""lng"": ""8"", ""geonameId"": 2328926, ""toponymName"": ""Federal Republic of Nigeria"", ""countryId"": ""2328926"", ""fcl"": ""A"", ""population"": 195874740, ""countryCode"": ""NG"", ""name"": ""Nigeria"", ""fclName"": ""country, state, region,..."", ""countryName"": ""Nigeria"", ""fcodeName"": ""independent political entity"", ""adminName1"": """", ""lat"": ""10"", ""fcode"": ""PCLI""}";"Federal Republic of Nigeria";"NGA";"AF";"10";"8";"[2328926]";"2019-12-28T00:00:00";"['h5n6', 'HPAI']";"{""domestic bird"": [""subtype-unknown""]}";"";"";"";"";28;52;26.0;12;2019;"winter"
1;2;"6856727";"https://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=32711";"wahis.oie.int";2322911;"{""adminCode1"": ""51"", ""lng"": ""5.24322"", ""geonameId"": 2322911, ""toponymName"": ""Sokoto"", ""countryId"": ""2328926"", ""fcl"": ""P"", ""population"": 563861, ""countryCode"": ""NG"", ""name"": ""Sokoto"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""SO""}, ""countryName"": ""Nigeria"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""Sokoto"", ""lat"": ""13.06269"", ""fcode"": ""PPLA""}";"Sokoto";"NGA";"AF";"13.06269";"5.24322";"[2328926, 2322907, 7701527, 9411680, 2322911]";"2019-12-28T00:00:00";"['h5n6', 'HPAI']";"{""domestic bird"": [""subtype-unknown""]}";"";"";"";"";28;52;26.0;12;2019;"winter"
2;3;"6854802";"https://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=32711";"wahis.oie.int";2328926;"{""adminCode1"": ""00"", ""lng"": ""8"", ""geonameId"": 2328926, ""toponymName"": ""Federal Republic of Nigeria"", ""countryId"": ""2328926"", ""fcl"": ""A"", ""population"": 195874740, ""countryCode"": ""NG"", ""name"": ""Nigeria"", ""fclName"": ""country, state, region,..."", ""countryName"": ""Nigeria"", ""fcodeName"": ""independent political entity"", ""adminName1"": """", ""lat"": ""10"", ""fcode"": ""PCLI""}";"Federal Republic of Nigeria";"NGA";"AF";"10";"8";"[2328926]";"2019-12-25T00:00:00";"['h5n6', 'HPAI']";"{""bird-unknown"": [""subtype-unknown""]}";"";"";"";"";25;52;26.0;12;2019;"winter"
3;4;"6856539";"https://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=32711";"wahis.oie.int";2328926;"{""adminCode1"": ""00"", ""lng"": ""8"", ""geonameId"": 2328926, ""toponymName"": ""Federal Republic of Nigeria"", ""countryId"": ""2328926"", ""fcl"": ""A"", ""population"": 195874740, ""countryCode"": ""NG"", ""name"": ""Nigeria"", ""fclName"": ""country, state, region,..."", ""countryName"": ""Nigeria"", ""fcodeName"": ""independent political entity"", ""adminName1"": """", ""lat"": ""10"", ""fcode"": ""PCLI""}";"Federal Republic of Nigeria";"NGA";"AF";"10";"8";"[2328926]";"2019-12-24T00:00:00";"['h5n6', 'HPAI']";"{""domestic bird"": [""subtype-unknown""]}";"";"";"";"";24;52;26.0;12;2019;"winter"
4;5;"6854972";"https://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=32711";"wahis.oie.int";2322911;"{""adminCode1"": ""51"", ""lng"": ""5.24322"", ""geonameId"": 2322911, ""toponymName"": ""Sokoto"", ""countryId"": ""2328926"", ""fcl"": ""P"", ""population"": 563861, ""countryCode"": ""NG"", ""name"": ""Sokoto"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""SO""}, ""countryName"": ""Nigeria"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""Sokoto"", ""lat"": ""13.06269"", ""fcode"": ""PPLA""}";"Sokoto";"NGA";"AF";"13.06269";"5.24322";"[2328926, 2322907, 7701527, 9411680, 2322911]";"2019-12-24T00:00:00";"['h5n6', 'HPAI']";"{""domestic bird"": [""subtype-unknown""]}";"";"";"";"";24;52;26.0;12;2019;"winter"
5;6;"6843896";"https://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=32602";"wahis.oie.int";3369157;"{""adminCode1"": ""11"", ""lng"": ""18.42322"", ""geonameId"": 3369157, ""toponymName"": ""Cape Town"", ""countryId"": ""953987"", ""fcl"": ""P"", ""population"": 4710000, ""countryCode"": ""ZA"", ""name"": ""Cape Town"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""WC""}, ""countryName"": ""South Africa"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""Western Cape"", ""lat"": ""-33.92584"", ""fcode"": ""PPLA""}";"Cape Town";"ZAF";"AF";"-33.92584";"18.42322";"[953987, 1085599, 8334583, 8347437, 3369157]";"2019-12-17T00:00:00";"['h5n8', 'HPAI']";"{""domestic bird"": [""ostrich""]}";"";"";"";"";17;51;26.0;12;2019;"autumn"
6;7;"6839256";"https://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=32602";"wahis.oie.int";3369157;"{""adminCode1"": ""11"", ""lng"": ""18.42322"", ""geonameId"": 3369157, ""toponymName"": ""Cape Town"", ""countryId"": ""953987"", ""fcl"": ""P"", ""population"": 4710000, ""countryCode"": ""ZA"", ""name"": ""Cape Town"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""WC""}, ""countryName"": ""South Africa"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""Western Cape"", ""lat"": ""-33.92584"", ""fcode"": ""PPLA""}";"Cape Town";"ZAF";"AF";"-33.92584";"18.42322";"[953987, 1085599, 8334583, 8347437, 3369157]";"2019-12-15T00:00:00";"['h5n8', 'HPAI']";"{""domestic bird"": [""ostrich""]}";"";"";"";"";15;50;25.0;12;2019;"autumn"
7;8;"6836883";"https://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=32614";"wahis.oie.int";2635167;"{""adminCode1"": ""00"", ""lng"": ""-2.69531"", ""geonameId"": 2635167, ""toponymName"": ""United Kingdom of Great Britain and Northern Ireland"", ""countryId"": ""2635167"", ""fcl"": ""A"", ""population"": 66488991, ""countryCode"": ""GB"", ""name"": ""United Kingdom"", ""fclName"": ""country, state, region,..."", ""countryName"": ""United Kingdom"", ""fcodeName"": ""independent political entity"", ""adminName1"": """", ""lat"": ""54.75844"", ""fcode"": ""PCLI""}";"United Kingdom of Great Britain and Northern Ireland";"GBR";"EU";"54.75844";"-2.69531";"[2635167]";"2019-12-14T00:00:00";"['', 'AI-unknown']";"{""bird-unknown"": [""subtype-unknown""]}";"";"";"";"";14;50;25.0;12;2019;"autumn"
8;9;"6836526";"https://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=32614";"wahis.oie.int";4930956;"{""adminCode1"": ""MA"", ""lng"": ""-71.05977"", ""geonameId"": 4930956, ""toponymName"": ""Boston"", ""countryId"": ""6252001"", ""fcl"": ""P"", ""population"": 675647, ""countryCode"": ""US"", ""name"": ""Boston"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""MA""}, ""countryName"": ""United States"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""Massachusetts"", ""lat"": ""42.35843"", ""fcode"": ""PPLA""}";"Boston";"USA";"NA";"42.35843";"-71.05977";"[6252001, 6254926, 4952349, 4931029, 4930956]";"2019-12-12T00:00:00";"['', 'AI-unknown']";"{""domestic bird"": [""subtype-unknown""]}";"";"";"";"";12;50;25.0;12;2019;"autumn"
9;10;"6834041";"https://twitter.com/frasermdx";"twitter.com/frasermdx";1796663;"{""adminCode1"": ""07"", ""lng"": ""117.61861"", ""geonameId"": 1796663, ""toponymName"": ""Sanming"", ""countryId"": ""1814991"", ""fcl"": ""P"", ""population"": 602166, ""countryCode"": ""CN"", ""name"": ""Sanming"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""FJ""}, ""countryName"": ""China"", ""fcodeName"": ""seat of a second-order administrative division"", ""adminName1"": ""Fujian"", ""lat"": ""26.24861"", ""fcode"": ""PPLA2""}";"Sanming";"CHN";"AS";"26.24861";"117.61861";"[1814991, 1811017, 1796662, 1796663]";"2019-12-11T00:00:00";"['', 'AI-unknown']";"{""human"": [""gender-unknown""]}";"";"";"";"";11;50;25.0;12;2019;"autumn"
