"";"host";"text";"hier_level"
0;"human";"male";2
1;"human";"female";2
2;"human";"human";1
0;"mammal";"seal";2
1;"mammal";"dog";2
2;"mammal";"fox";2
3;"mammal";"mule";2
4;"mammal";"horse";2
5;"mammal";"llama";2
6;"mammal";"alpaca";2
7;"mammal";"donkey";2
8;"mammal";"equidae";1
9;"mammal";"arctoidea";1
10;"mammal";"canidae";1
11;"mammal";"camelidae";1
0;"mosquito";"culex pipiens";2
1;"mosquito";"culex tarsalis";2
2;"mosquito";"mosquito";1
0;"avian";"duck";3
1;"avian";"buzzard";3
2;"avian";"crow";3
3;"avian";"falcon";3
4;"avian";"crane";3
5;"avian";"eagle";3
6;"avian";"dove";3
7;"avian";"lapwing";3
8;"avian";"heron";3
9;"avian";"kite";3
10;"avian";"gull";3
11;"avian";"penguin";3
12;"avian";"owl";3
13;"avian";"hawk";3
14;"avian";"flamingo";3
15;"avian";"quail";3
16;"avian";"swan";3
17;"avian";"turkey";3
18;"avian";"pelican";3
19;"avian";"goose";3
20;"avian";"geese";3
21;"avian";"mallard";3
22;"avian";"wigeon";3
23;"avian";"wild fowl";3
24;"avian";"osprey";3
25;"avian";"ashen";3
26;"avian";"shorebird";3
27;"avian";"wild bird";2
28;"avian";"sparrow";3
29;"avian";"chicken";3
30;"avian";"ostrich";3
31;"avian";"fowl";3
32;"avian";"peafowl";3
33;"avian";"peacock";3
34;"avian";"domestic bird";2
35;"avian";"bird-unknown";1
